"","kommunenummer","KomNavn","area_t0","area_t1","area_t2","pop_t0","pop_t1","pop_t2","km2_change_2000_2022","km2_change_2022_2050","pop_change_2000_2022","pop_change_2022_2050","bpc_t0","bpc_t1","bpc_t2","AGR_pop_1","AGR_pop_2","AGR_bpc_1","AGR_bpc_2","combined_change_class_1","combined_change_class_2","category_1","category_2","BPC_ratio","BPC_ratio_t_1_2","pop_change_class_norsk","pop_change_class_t_1_2_norsk","bpc_change_class_norsk","bpc_change_class_t_1_2_norsk"
"33",4211,"Gjerstad",703594.565217379,1105092.39130434,1616089.62450592,2509,2427,2423,0.401497826086961,0.51099723320158,-82,-4,280.428284263603,455.332670500346,666.978796742022,-0.150923907148948,-0.00589084401895201,2.22767883553621,1.37265688926793,"pop_Stabil_bpc_Sterk økning","pop_Stabil_bpc_Sterk økning","f) Ekspansjon i utbygd areal","f) Ekspansjon i utbygd areal",1.62370451217515,1.46481647365454,"Stabil","Stabil","Sterk økning","Sterk økning"
"34",4005,"Notodden",4721634.78260869,5644956.52173913,6820093.28063241,12272,13029,13535,0.92332173913044,1.17513675889328,757,506,384.748597018309,433.260919620779,503.885724464899,0.272449551025367,0.136168628421407,0.541232152369697,0.540776133024767,"pop_Stabil_bpc_Moderat økning","pop_Stabil_bpc_Moderat økning","e) Moderat arealvekst","e) Moderat arealvekst",1.12608836777685,1.16300755883068,"Stabil","Stabil","Moderat økning","Moderat økning"
"35",3428,"Alvdal",1394657.60869565,1394657.60969565,1394657.61069565,2417,2445,2359,0,0,28,-86,577.020111169073,570.412110304969,591.207126195697,0.0523683492777982,-0.127801558808116,-0.0523409359344695,0.127965102764982,"pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",0.988548057968524,1.03645612622006,"Stabil","Stabil","Liten endring","Liten endring"
"36",3417,"Grue",1427478.26086956,1555826.08695652,1719177.86561265,5442,4548,4533,0.12834782608696,0.16335177865613,-894,-15,262.307655433583,342.090168635998,379.258298171774,-0.812405028106178,-0.0117978894570547,1.21438854406688,0.36904768578494,"pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.30415625144656,1.10865009562822,"Nedgang","Stabil","Sterk økning","Moderat økning"
"37",4618,"Ullensvang",20253658.6956522,22966610.8695651,26419459.0909091,12440,10881,10070,2.7129521739129,3.452848221344,-1559,-811,1628.10761219069,2110.70773546228,2623.58084318859,-0.606783128077104,-0.276251443783493,1.18701220729802,0.779871017460954,"pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Moderat økning","c) Nedgang-spredning","e) Moderat arealvekst",1.29641782868531,1.24298632118007,"Nedgang","Stabil","Sterk økning","Moderat økning"
"38",4220,"Bygland",695230.434782605,902308.695652174,1165862.84584981,1351,1134,1341,0.207078260869569,0.263554150197636,-217,207,514.604318862032,795.686680469289,869.398095339157,-0.792722404524215,0.600597824543403,2.00069266519891,0.316914103289911,"pop_Nedgang_bpc_Sterk økning","pop_Vekst_bpc_Liten endring","c) Nedgang-spredning","g) Arealeffektiv vekst",1.54621065409794,1.09263874421826,"Nedgang","Vekst","Sterk økning","Liten endring"
"39",1860,"Vestvågøy",948785.869565214,1348092.39130435,1856300.69169961,10750,11566,11800,0.399306521739136,0.50820830039526,816,234,88.2591506572292,116.556492417806,157.313617940645,0.333117266295946,0.0715604913667178,1.27210827227471,1.07670270700837,"pop_Stabil_bpc_Sterk økning","pop_Stabil_bpc_Sterk økning","f) Ekspansjon i utbygd areal","f) Ekspansjon i utbygd areal",1.32061652021188,1.34967700792454,"Stabil","Stabil","Sterk økning","Sterk økning"
"40",1848,"Steigen",859206.521739129,1014280.43478261,1211647.23320158,2977,2591,2877,0.155073913043481,0.19736679841897,-386,286,288.614888054796,391.462923497727,421.149542301557,-0.629249067411797,0.374643551736509,1.39508526732335,0.261402385880816,"pop_Nedgang_bpc_Sterk økning","pop_Stabil_bpc_Liten endring","c) Nedgang-spredning","d) Stillstand i utbygd areal",1.3563504160721,1.07583507152754,"Nedgang","Stabil","Sterk økning","Liten endring"
"41",4225,"Lyngdal",3453955.43478259,4913148.91304347,6770304.24901188,8594,10480,11439,1.45919347826088,1.85715533596841,1886,959,401.903122502047,468.811919183537,591.861548125875,0.905916964929721,0.313203355152192,0.702412662861107,0.835870744233946,"pop_Vekst_bpc_Moderat økning","pop_Stabil_bpc_Moderat økning","i) Rask vekst i utbygd areal","e) Moderat arealvekst",1.16647991253452,1.26247120413797,"Vekst","Stabil","Moderat økning","Moderat økning"
"42",4206,"Farsund",5559603.26086956,5927527.17391304,6395793.97233202,9630,9622,9599,0.36792391304348,0.46826679841898,-8,-23,577.321210889882,616.038991260969,666.297944820504,-0.00377757652402222,-0.00854683793649613,0.295487780235737,0.280487904967708,"pop_Stabil_bpc_Liten endring","pop_Stabil_bpc_Liten endring","d) Stillstand i utbygd areal","d) Stillstand i utbygd areal",1.0670645381475,1.08158404625763,"Stabil","Stabil","Liten endring","Liten endring"
