"kommunenummer","iKomNr","KomNavn","Kyst","iFylke","SSB_Sentralitet","BefUtvSiste10y","SyssUtvSiste10y","Herfindahlsindeksen_omvendt","SSB_Sentr_Kl","Herfindahlsindeksen","rSkog","rDyrketMark","rUrbant","SHAPE_Length","SHAPE_Area"
"1563",1563,"Sunndal",1,15,640,-1.3,-6.4,0.850192202,5,0.149807798,19.3954212047122,1.30862413869749,0.122805067792843,292142.126027277,1716380384.94778
"3226",3226,"Aurskog-Høland",0,32,797,12.5,10.9,0.93672327,3,0.06327673,75.2550663871419,9.65321453529001,0.415793151642208,181232.419255185,1144900139.70674
"3903",3903,"Holmestrand",1,39,837,17.8,18.5,0.932689268,3,0.067310732,65.3490949390469,14.3085826868612,1.40787259368715,181848.6409643,432806042.372124
"4022",4022,"Seljord",0,40,650,-0.2,-8.5,0.915304705,5,0.0846952949999999,63.1048274318957,1.72148570789282,0.0811098058958438,182650.812135573,716851641.938228
"4636",4636,"Solund",1,46,350,-10.2,-9.4,0.873057341,6,0.126942659,1.29291177516898,0.0833778014941302,0.0144521522589826,1082689.60355654,229689028.630049
"5052",5052,"Leka",1,50,386,1.4,-0.4,0.832114007,6,0.167885993,2.46551046189628,0.658417622501652,0,487767.367286042,110106336.857875
"3330",3330,"Hol",0,33,629,1.3,0.5,0.922319362,5,0.077680638,20.7749630636169,0.615786124861152,0.0792649390145265,250632.167553437,1859721728.67696
"3412",3412,"Løten",0,34,790,4.8,6.6,0.906988406,3,0.093011594,70.9587483759203,12.9736899090515,0.581961888263317,119148.722719884,369494661.73701
"5612",5612,"Guovdageaidnu - Kautokeino",0,56,495,-2.6,-1.6,0.892590567,6,0.107409433,37.5078677496948,0.0377033896995575,0.00648992773516974,532644.129148173,9727129897.16972
"1816",1816,"Vevelstad",1,18,373,-9.2,-21.2,0.883437364,6,0.116562636,18.743382642103,1.08297788668058,0.0121003115830233,303258.586235573,538765908.541505
"1135",1135,"Sauda",1,11,604,-4.3,-7,0.913890262,5,0.086109738,25.6586868758411,0.699412139669948,0.31517812876266,132372.185855971,549219328.798496
